TEXT_BASE 0x0
main, 0x10948: lui	a5,0x75
strlen, 0x24b70: beqz	a4,0x24b80 <strlen+32>
strlen, 0x24b80: auipc	a6,0x31
strlen, 0x24b84: ld	a6,608(a6)
strlen, 0x24b88: auipc	a1,0x31
strlen, 0x24b8c: ld	a1,608(a1)
strlen, 0x24b90: ld	a3,0(a5)
strlen, 0x24b92: mv	a2,a5
strlen, 0x24b94: addi	a5,a5,8
strlen, 0x24b96: add	a4,a3,a6
strlen, 0x24b9a: not	a3,a3
strlen, 0x24b9e: and	a4,a4,a3
strlen, 0x24ba0: and	a4,a4,a1
strlen, 0x24ba2: beqz	a4,0x24b90 <strlen+48>
strlen, 0x24b90: ld	a3,0(a5)
strlen, 0x24b92: mv	a2,a5
strlen, 0x24b94: addi	a5,a5,8
strlen, 0x24b96: add	a4,a3,a6
strlen, 0x24b9a: not	a3,a3
strlen, 0x24b9e: and	a4,a4,a3
strlen, 0x24ba0: and	a4,a4,a1
strlen, 0x24ba2: beqz	a4,0x24b90 <strlen+48>
strlen, 0x24b90: ld	a3,0(a5)
strlen, 0x24b92: mv	a2,a5
strlen, 0x24b94: addi	a5,a5,8
strlen, 0x24b96: add	a4,a3,a6
strlen, 0x24b9a: not	a3,a3
strlen, 0x24b9e: and	a4,a4,a3
strlen, 0x24ba0: and	a4,a4,a1
strlen, 0x24ba2: beqz	a4,0x24b90 <strlen+48>
strlen, 0x24b90: ld	a3,0(a5)
strlen, 0x24b92: mv	a2,a5
strlen, 0x24b94: addi	a5,a5,8
strlen, 0x24b96: add	a4,a3,a6
strlen, 0x24b9a: not	a3,a3
strlen, 0x24b9e: and	a4,a4,a3
strlen, 0x24ba0: and	a4,a4,a1
strlen, 0x24ba2: beqz	a4,0x24b90 <strlen+48>
strlen, 0x24b90: ld	a3,0(a5)
strlen, 0x24b92: mv	a2,a5
strlen, 0x24b94: addi	a5,a5,8
strlen, 0x24b96: add	a4,a3,a6
strlen, 0x24b9a: not	a3,a3
strlen, 0x24b9e: and	a4,a4,a3
strlen, 0x24ba0: and	a4,a4,a1
strlen, 0x24ba2: beqz	a4,0x24b90 <strlen+48>
strlen, 0x24ba4: lbu	a4,-8(a5)
strlen, 0x24ba8: beqz	a4,0x24bdc <strlen+124>
strlen, 0x24baa: lbu	a4,-7(a5)
strlen, 0x24bae: beqz	a4,0x24be2 <strlen+130>
strlen, 0x24bb0: lbu	a4,-6(a5)
strlen, 0x24bb4: beqz	a4,0x24bea <strlen+138>
strlen, 0x24bb6: lbu	a4,-5(a5)
strlen, 0x24bba: beqz	a4,0x24bf2 <strlen+146>
strlen, 0x24bbc: lbu	a4,-4(a5)
strlen, 0x24bc0: beqz	a4,0x24bfa <strlen+154>
strlen, 0x24bc2: lbu	a4,-3(a5)
strlen, 0x24bc6: beqz	a4,0x24c02 <strlen+162>
strlen, 0x24bc8: lbu	a4,-2(a5)
strlen, 0x24bcc: beqz	a4,0x24c0a <strlen+170>
strlen, 0x24c0a: sub	a2,a2,a0
strlen, 0x24c0c: addi	a0,a2,6
strlen, 0x24c10: ret
main, 0x109ae: sd	a0,-128(s0)
main, 0x109b2: ld	a5,-128(s0)
main, 0x109b6: addi	a5,a5,-1
main, 0x109b8: ld	a4,-144(s0)
main, 0x109bc: add	a5,a5,a4
main, 0x109be: lbu	a5,0(a5)
main, 0x109c2: mv	a4,a5
main, 0x109c4: li	a5,93
main, 0x109c8: bne	a4,a5,0x109dc <main+186>
main, 0x109dc: li	a5,1
main, 0x109de: sw	a5,-156(s0)
main, 0x109e2: sw	zero,-152(s0)
main, 0x109e6: j	0x10a14 <main+242>
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a00: lw	a5,-156(s0)
main, 0x10a04: addiw	a5,a5,1
main, 0x10a06: sw	a5,-156(s0)
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a00: lw	a5,-156(s0)
main, 0x10a04: addiw	a5,a5,1
main, 0x10a06: sw	a5,-156(s0)
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a00: lw	a5,-156(s0)
main, 0x10a04: addiw	a5,a5,1
main, 0x10a06: sw	a5,-156(s0)
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a00: lw	a5,-156(s0)
main, 0x10a04: addiw	a5,a5,1
main, 0x10a06: sw	a5,-156(s0)
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a00: lw	a5,-156(s0)
main, 0x10a04: addiw	a5,a5,1
main, 0x10a06: sw	a5,-156(s0)
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a00: lw	a5,-156(s0)
main, 0x10a04: addiw	a5,a5,1
main, 0x10a06: sw	a5,-156(s0)
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a00: lw	a5,-156(s0)
main, 0x10a04: addiw	a5,a5,1
main, 0x10a06: sw	a5,-156(s0)
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
main, 0x10a14: lw	a5,-152(s0)
main, 0x10a18: ld	a4,-144(s0)
main, 0x10a1c: add	a5,a5,a4
main, 0x10a1e: lbu	a5,0(a5)
main, 0x10a22: bnez	a5,0x109e8 <main+198>
main, 0x109e8: lw	a5,-152(s0)
main, 0x109ec: ld	a4,-144(s0)
main, 0x109f0: add	a5,a5,a4
main, 0x109f2: lbu	a5,0(a5)
main, 0x109f6: mv	a4,a5
main, 0x109f8: li	a5,44
main, 0x109fc: bne	a4,a5,0x10a0a <main+232>
main, 0x10a0a: lw	a5,-152(s0)
main, 0x10a0e: addiw	a5,a5,1
main, 0x10a10: sw	a5,-152(s0)
