TEXT_BASE 0x0
main, 0x1063c: lw	a5,-20(s0)
_IO_new_file_xsputn, 0x1ce16: bgeu	a4,a5,0x1ce22 <_IO_new_file_xsputn+222>
_IO_new_file_xsputn, 0x1ce1a: remu	a5,s2,a5
_IO_new_file_xsputn, 0x1ce1e: sub	s5,s2,a5
_IO_new_file_xsputn, 0x1ce22: bnez	s5,0x1ce42 <_IO_new_file_xsputn+254>
_IO_new_file_xsputn, 0x1ce26: mv	s3,s4
_IO_new_file_xsputn, 0x1ce28: beqz	s2,0x1cd9c <_IO_new_file_xsputn+88>
_IO_new_file_xsputn, 0x1ce2c: mv	a2,s2
_IO_new_file_xsputn, 0x1ce2e: add	a1,s1,s5
_IO_new_file_xsputn, 0x1ce32: mv	a0,s0
[CALL] _IO_new_file_xsputn -> <_IO_default_xsputn>
_IO_new_file_xsputn, 0x1ce34: jal	ra,0x1e0ec <_IO_default_xsputn>
_IO_new_file_xsputn, 0x1ce38: sub	a0,a0,s2
_IO_new_file_xsputn, 0x1ce3c: add	s3,a0,s4
_IO_new_file_xsputn, 0x1ce40: j	0x1cd9c <_IO_new_file_xsputn+88>
_IO_new_file_xsputn, 0x1cd9c: ld	ra,56(sp)
_IO_new_file_xsputn, 0x1cd9e: ld	s0,48(sp)
_IO_new_file_xsputn, 0x1cda0: ld	s1,40(sp)
_IO_new_file_xsputn, 0x1cda2: ld	s2,32(sp)
_IO_new_file_xsputn, 0x1cda4: ld	s4,16(sp)
_IO_new_file_xsputn, 0x1cda6: ld	s5,8(sp)
_IO_new_file_xsputn, 0x1cda8: mv	a0,s3
_IO_new_file_xsputn, 0x1cdaa: ld	s3,24(sp)
_IO_new_file_xsputn, 0x1cdac: addi	sp,sp,64
_IO_new_file_xsputn, 0x1cdae: ret
puts, 0x1a5d4: bne	s0,a0,0x1a59a <puts+100>
puts, 0x1a5d8: ld	a0,0(s3)
puts, 0x1a5dc: ld	a5,40(a0)
puts, 0x1a5de: ld	a4,48(a0)
puts, 0x1a5e0: bgeu	a5,a4,0x1a654 <puts+286>
puts, 0x1a5e4: addi	a4,a5,1
puts, 0x1a5e8: sd	a4,40(a0)
puts, 0x1a5ea: li	a4,10
puts, 0x1a5ec: sb	a4,0(a5)
puts, 0x1a5f0: lui	a5,0x80000
puts, 0x1a5f4: addi	s0,s0,1
puts, 0x1a5f6: not	a5,a5
puts, 0x1a5fa: bltu	a5,s0,0x1a628 <puts+242>
puts, 0x1a5fe: sext.w	s0,s0
puts, 0x1a600: lw	a5,0(s1)
puts, 0x1a602: srli	a5,a5,0xf
puts, 0x1a604: andi	a5,a5,1
puts, 0x1a606: bnez	a5,0x1a616 <puts+224>
puts, 0x1a608: ld	a0,136(s1)
puts, 0x1a60a: lw	a5,4(a0)
puts, 0x1a60c: addiw	a4,a5,-1
puts, 0x1a610: sw	a4,4(a0)
puts, 0x1a612: mv	a5,a4
puts, 0x1a614: beqz	a4,0x1a62c <puts+246>
puts, 0x1a62c: sd	zero,8(a0)
puts, 0x1a630: fence	iorw,ow
puts, 0x1a634: amoswap.w	a5,a5,(a0)
puts, 0x1a638: sext.w	a5,a5
puts, 0x1a63a: li	a4,1
puts, 0x1a63c: bge	a4,a5,0x1a616 <puts+224>
puts, 0x1a616: ld	ra,40(sp)
puts, 0x1a618: mv	a0,s0
puts, 0x1a61a: ld	s0,32(sp)
puts, 0x1a61c: ld	s1,24(sp)
puts, 0x1a61e: ld	s2,16(sp)
puts, 0x1a620: ld	s3,8(sp)
puts, 0x1a622: ld	s4,0(sp)
puts, 0x1a624: addi	sp,sp,48
puts, 0x1a626: ret
main, 0x1066e: ld	a5,-32(s0)
main, 0x10672: addi	a5,a5,8
main, 0x10674: ld	a5,0(a5)
main, 0x10676: mv	a0,a5
[CALL] main -> <atoi>
main, 0x10678: jal	ra,0x148de <atoi>
atoi, 0x148de: addi	sp,sp,-16
atoi, 0x148e0: li	a2,10
atoi, 0x148e2: li	a1,0
atoi, 0x148e4: sd	ra,8(sp)
[CALL] atoi -> <strtoq>
atoi, 0x148e6: jal	ra,0x15190 <strtoq>
strtoq, 0x15190: auipc	a5,0x63
strtoq, 0x15194: ld	a5,328(a5)
strtoq, 0x15198: li	a3,0
strtoq, 0x1519a: add	a5,a5,tp
strtoq, 0x1519c: ld	a4,0(a5)
strtoq, 0x1519e: j	0x151be <____strtoll_l_internal>
____strtoll_l_internal, 0x151be: addi	sp,sp,-80
____strtoll_l_internal, 0x151c0: sd	s3,40(sp)
____strtoll_l_internal, 0x151c2: sd	s4,32(sp)
____strtoll_l_internal, 0x151c4: sd	s5,24(sp)
____strtoll_l_internal, 0x151c6: sd	s7,8(sp)
____strtoll_l_internal, 0x151c8: sd	ra,72(sp)
____strtoll_l_internal, 0x151ca: sd	s0,64(sp)
____strtoll_l_internal, 0x151cc: sd	s1,56(sp)
____strtoll_l_internal, 0x151ce: sd	s2,48(sp)
____strtoll_l_internal, 0x151d0: sd	s6,16(sp)
____strtoll_l_internal, 0x151d2: ld	a5,8(a4)
____strtoll_l_internal, 0x151d4: mv	s4,a0
____strtoll_l_internal, 0x151d6: mv	s5,a1
____strtoll_l_internal, 0x151d8: li	s7,0
____strtoll_l_internal, 0x151da: li	s3,0
____strtoll_l_internal, 0x151dc: bnez	a3,0x153d6 <____strtoll_l_internal+536>
____strtoll_l_internal, 0x151e0: li	a5,1
____strtoll_l_internal, 0x151e2: beq	a2,a5,0x152e8 <____strtoll_l_internal+298>
____strtoll_l_internal, 0x151e6: li	a5,36
____strtoll_l_internal, 0x151ea: bltu	a5,a2,0x152e8 <____strtoll_l_internal+298>
____strtoll_l_internal, 0x151ee: lbu	a1,0(s4)
____strtoll_l_internal, 0x151f2: ld	a4,104(a4)
____strtoll_l_internal, 0x151f4: lui	a3,0x2
____strtoll_l_internal, 0x151f6: slli	a5,a1,0x1
____strtoll_l_internal, 0x151fa: add	a5,a5,a4
____strtoll_l_internal, 0x151fc: lhu	a5,0(a5)
____strtoll_l_internal, 0x15200: mv	s1,s4
____strtoll_l_internal, 0x15202: lui	a0,0x2
____strtoll_l_internal, 0x15204: and	a5,a5,a3
____strtoll_l_internal, 0x15206: beqz	a5,0x1521c <____strtoll_l_internal+94>
____strtoll_l_internal, 0x1521c: beqz	a1,0x1542c <____strtoll_l_internal+622>
____strtoll_l_internal, 0x15220: li	a5,45
____strtoll_l_internal, 0x15224: beq	a1,a5,0x153d0 <____strtoll_l_internal+530>
____strtoll_l_internal, 0x15228: addi	a5,a1,-43
____strtoll_l_internal, 0x1522c: seqz	a5,a5
____strtoll_l_internal, 0x15230: slli	a5,a5,0x20
____strtoll_l_internal, 0x15232: srli	a5,a5,0x20
____strtoll_l_internal, 0x15234: li	s6,0
____strtoll_l_internal, 0x15236: add	s1,s1,a5
____strtoll_l_internal, 0x15238: lbu	s0,0(s1)
____strtoll_l_internal, 0x1523c: li	a5,48
____strtoll_l_internal, 0x15240: beq	s0,a5,0x1530e <____strtoll_l_internal+336>
____strtoll_l_internal, 0x15244: bnez	a2,0x15332 <____strtoll_l_internal+372>
____strtoll_l_internal, 0x15332: li	a5,10
____strtoll_l_internal, 0x15334: beq	a2,a5,0x15246 <____strtoll_l_internal+136>
____strtoll_l_internal, 0x15246: bnez	s7,0x15436 <____strtoll_l_internal+632>
____strtoll_l_internal, 0x1524a: li	t5,5
____strtoll_l_internal, 0x1524c: auipc	a7,0x3e
____strtoll_l_internal, 0x15250: ld	a7,-460(a7)
____strtoll_l_internal, 0x15254: li	a2,10
____strtoll_l_internal, 0x15256: beqz	s0,0x15512 <____strtoll_l_internal+852>
____strtoll_l_internal, 0x1525a: auipc	a5,0x61
____strtoll_l_internal, 0x1525e: addi	a5,a5,-1034
____strtoll_l_internal, 0x15262: ld	a0,120(a5)
____strtoll_l_internal, 0x15264: li	t3,0
____strtoll_l_internal, 0x15266: li	s2,0
____strtoll_l_internal, 0x15268: ld	t4,104(a5)
____strtoll_l_internal, 0x1526c: mv	a4,s1
____strtoll_l_internal, 0x1526e: li	a6,0
____strtoll_l_internal, 0x15270: li	a1,0
____strtoll_l_internal, 0x15272: li	t1,9
____strtoll_l_internal, 0x15274: addi	t6,s2,-1
____strtoll_l_internal, 0x15278: addiw	a5,s0,-48
____strtoll_l_internal, 0x1527c: zext.b	a5,a5
____strtoll_l_internal, 0x15280: bgeu	t1,a5,0x152a6 <____strtoll_l_internal+232>
____strtoll_l_internal, 0x152a6: bge	a5,a2,0x15386 <____strtoll_l_internal+456>
____strtoll_l_internal, 0x152aa: bltu	a7,a6,0x1535a <____strtoll_l_internal+412>
____strtoll_l_internal, 0x152ae: beq	a7,a6,0x15356 <____strtoll_l_internal+408>
____strtoll_l_internal, 0x152b2: mul	a6,a2,a6
____strtoll_l_internal, 0x152b6: add	a6,a6,a5
____strtoll_l_internal, 0x152b8: lbu	s0,1(a4)
____strtoll_l_internal, 0x152bc: addi	a4,a4,1
____strtoll_l_internal, 0x152be: beqz	s0,0x15386 <____strtoll_l_internal+456>
____strtoll_l_internal, 0x152c0: bne	a4,t3,0x15278 <____strtoll_l_internal+186>
____strtoll_l_internal, 0x15278: addiw	a5,s0,-48
____strtoll_l_internal, 0x1527c: zext.b	a5,a5
____strtoll_l_internal, 0x15280: bgeu	t1,a5,0x152a6 <____strtoll_l_internal+232>
____strtoll_l_internal, 0x152a6: bge	a5,a2,0x15386 <____strtoll_l_internal+456>
____strtoll_l_internal, 0x152aa: bltu	a7,a6,0x1535a <____strtoll_l_internal+412>
____strtoll_l_internal, 0x152ae: beq	a7,a6,0x15356 <____strtoll_l_internal+408>
____strtoll_l_internal, 0x152b2: mul	a6,a2,a6
____strtoll_l_internal, 0x152b6: add	a6,a6,a5
____strtoll_l_internal, 0x152b8: lbu	s0,1(a4)
____strtoll_l_internal, 0x152bc: addi	a4,a4,1
____strtoll_l_internal, 0x152be: beqz	s0,0x15386 <____strtoll_l_internal+456>
____strtoll_l_internal, 0x15386: bne	s1,a4,0x152c4 <____strtoll_l_internal+262>
____strtoll_l_internal, 0x152c4: beqz	s5,0x152cc <____strtoll_l_internal+270>
____strtoll_l_internal, 0x152cc: beqz	a1,0x153ba <____strtoll_l_internal+508>
____strtoll_l_internal, 0x153ba: li	a5,-1
____strtoll_l_internal, 0x153bc: srli	a5,a5,0x1
____strtoll_l_internal, 0x153be: add	a5,a5,s6
____strtoll_l_internal, 0x153c0: bltu	a5,a6,0x152ce <____strtoll_l_internal+272>
____strtoll_l_internal, 0x153c4: neg	a0,a6
____strtoll_l_internal, 0x153c8: bnez	s6,0x152f8 <____strtoll_l_internal+314>
____strtoll_l_internal, 0x153cc: mv	a0,a6
____strtoll_l_internal, 0x153ce: j	0x152f8 <____strtoll_l_internal+314>
____strtoll_l_internal, 0x152f8: ld	ra,72(sp)
____strtoll_l_internal, 0x152fa: ld	s0,64(sp)
____strtoll_l_internal, 0x152fc: ld	s1,56(sp)
____strtoll_l_internal, 0x152fe: ld	s2,48(sp)
____strtoll_l_internal, 0x15300: ld	s3,40(sp)
____strtoll_l_internal, 0x15302: ld	s4,32(sp)
____strtoll_l_internal, 0x15304: ld	s5,24(sp)
____strtoll_l_internal, 0x15306: ld	s6,16(sp)
____strtoll_l_internal, 0x15308: ld	s7,8(sp)
____strtoll_l_internal, 0x1530a: addi	sp,sp,80
____strtoll_l_internal, 0x1530c: ret
atoi, 0x148ea: ld	ra,8(sp)
atoi, 0x148ec: sext.w	a0,a0
atoi, 0x148ee: addi	sp,sp,16
atoi, 0x148f0: ret
main, 0x1067c: mv	a5,a0
main, 0x1067e: mv	a0,a5
[CALL] main -> <recurse>
main, 0x10680: jal	ra,0x107c8 <recurse>
recurse, 0x107c8: addi	sp,sp,-32
recurse, 0x107ca: sd	ra,24(sp)
recurse, 0x107cc: sd	s0,16(sp)
recurse, 0x107ce: addi	s0,sp,32
recurse, 0x107d0: mv	a5,a0
recurse, 0x107d2: sw	a5,-20(s0)
recurse, 0x107d6: lw	a5,-20(s0)
recurse, 0x107da: sext.w	a5,a5
recurse, 0x107dc: beqz	a5,0x10800 <recurse+56>
recurse, 0x107de: lw	a5,-20(s0)
recurse, 0x107e2: mv	a1,a5
recurse, 0x107e4: lui	a5,0x52
recurse, 0x107e8: addi	a0,a5,1040
[CALL] recurse -> <printf>
recurse, 0x107ec: jal	ra,0x159f4 <printf>
printf, 0x159f4: mv	t3,a0
printf, 0x159f6: auipc	a0,0x62
printf, 0x159fa: ld	a0,1466(a0)
printf, 0x159fe: addi	sp,sp,-96
printf, 0x15a00: ld	a0,0(a0)
printf, 0x15a02: addi	t1,sp,40
printf, 0x15a06: sd	s0,16(sp)
printf, 0x15a08: auipc	s0,0x62
printf, 0x15a0c: ld	s0,1480(s0)
printf, 0x15a10: sd	a1,40(sp)
printf, 0x15a12: sd	a2,48(sp)
printf, 0x15a14: sd	a3,56(sp)
printf, 0x15a16: sd	a5,72(sp)
printf, 0x15a18: li	a3,0
printf, 0x15a1a: ld	a5,0(s0)
printf, 0x15a1c: sd	a5,8(sp)
printf, 0x15a1e: li	a5,0
printf, 0x15a20: mv	a2,t1
printf, 0x15a22: mv	a1,t3
printf, 0x15a24: sd	a4,64(sp)
printf, 0x15a26: sd	ra,24(sp)
printf, 0x15a28: sd	a6,80(sp)
printf, 0x15a2a: sd	a7,88(sp)
printf, 0x15a2c: sd	t1,0(sp)
[CALL] printf -> <__vfprintf_internal>
printf, 0x15a2e: jal	ra,0x181a6 <__vfprintf_internal>
printf, 0x15a32: ld	a4,8(sp)
printf, 0x15a34: ld	a5,0(s0)
printf, 0x15a36: xor	a5,a5,a4
printf, 0x15a38: li	a4,0
printf, 0x15a3a: bnez	a5,0x15a44 <printf+80>
printf, 0x15a3c: ld	ra,24(sp)
printf, 0x15a3e: ld	s0,16(sp)
printf, 0x15a40: addi	sp,sp,96
printf, 0x15a42: ret
recurse, 0x107f0: lw	a5,-20(s0)
recurse, 0x107f4: addiw	a5,a5,-1
recurse, 0x107f6: sext.w	a5,a5
recurse, 0x107f8: mv	a0,a5
[CALL] recurse -> <recurse>
recurse, 0x107fa: jal	ra,0x107c8 <recurse>
recurse, 0x107c8: addi	sp,sp,-32
recurse, 0x107ca: sd	ra,24(sp)
recurse, 0x107cc: sd	s0,16(sp)
recurse, 0x107ce: addi	s0,sp,32
recurse, 0x107d0: mv	a5,a0
recurse, 0x107d2: sw	a5,-20(s0)
recurse, 0x107d6: lw	a5,-20(s0)
recurse, 0x107da: sext.w	a5,a5
recurse, 0x107dc: beqz	a5,0x10800 <recurse+56>
recurse, 0x107de: lw	a5,-20(s0)
recurse, 0x107e2: mv	a1,a5
recurse, 0x107e4: lui	a5,0x52
recurse, 0x107e8: addi	a0,a5,1040
[CALL] recurse -> <printf>
recurse, 0x107ec: jal	ra,0x159f4 <printf>
printf, 0x159f4: mv	t3,a0
printf, 0x159f6: auipc	a0,0x62
printf, 0x159fa: ld	a0,1466(a0)
printf, 0x159fe: addi	sp,sp,-96
printf, 0x15a00: ld	a0,0(a0)
printf, 0x15a02: addi	t1,sp,40
printf, 0x15a06: sd	s0,16(sp)
printf, 0x15a08: auipc	s0,0x62
printf, 0x15a0c: ld	s0,1480(s0)
printf, 0x15a10: sd	a1,40(sp)
printf, 0x15a12: sd	a2,48(sp)
printf, 0x15a14: sd	a3,56(sp)
printf, 0x15a16: sd	a5,72(sp)
printf, 0x15a18: li	a3,0
printf, 0x15a1a: ld	a5,0(s0)
printf, 0x15a1c: sd	a5,8(sp)
